id,name,quantity_stock,price,description,thumbnail_url,vendor_id,image_url1,image_url2,image_url3,image_url4
1,Blueberry Pet Essentials Zoo Fun Dog Collars,799,35,"<p>These vibrant and playful collars are both fashionable and functional, featuring durable materials and adjustable sizing. Make walks more enjoyable with these eye-catching and comfortable collars for your beloved furry friend.</p>",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/blueberry_pet_essentials_zoo_fun_dog_collars_1_640x_crop_top.jpg?v=1625752583,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/blueberry_pet_essentials_zoo_fun_dog_collars_1_640x_crop_top.jpg?v=1625752583,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/blueberry_pet_essentials_zoo_fun_dog_collars_2_640x_crop_top.jpg?v=1625752583,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/blueberry_pet_essentials_zoo_fun_dog_collars_3_640x_crop_top.jpg?v=1625752583,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/blueberry_pet_essentials_zoo_fun_dog_collars_4_640x_crop_top.jpg?v=1625752583
2,Hdp Dog Boots Blue Set of 4 Medium,900,25,"<p>Keep your furry friend's paws protected with the HDP Dog Boots in a vibrant blue color. This set includes four medium-sized boots designed for dogs. They provide insulation against hot or cold surfaces, making walks comfortable in any weather. The boots are durable, easy to put on, and designed to stay in place during playtime.</p>",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hdp_dog_boots_blue_set_of_4_medium_1_24144e81-621a-471c-839a-92acb84b49c7_640x_crop_top.png?v=1625817557,2,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hdp_dog_boots_blue_set_of_4_medium_1_24144e81-621a-471c-839a-92acb84b49c7_640x_crop_top.png?v=1625817557,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hdp_dog_boots_blue_set_of_4_medium_2_b3d23f1a-fe9a-401e-aed0-c4a37b6c63a1_640x_crop_top.png?v=1625817557,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hdp_dog_boots_blue_set_of_4_medium_3_54c54c33-aa13-4932-bd25-6746f060ebe3_640x_crop_top.png?v=1625817557,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hdp_dog_boots_blue_set_of_4_medium_4_640x_crop_top.png?v=1625817557
3,Glendan Dog Brush Cat Brush Slicker Pet Grooming,700,22,"<p>A high-quality slicker grooming brush designed for effective shedding control. Keep your pets' coat clean, healthy, and tangle-free with this essential grooming tool. Perfect for dogs and cats of all sizes, it ensures a comfortable grooming experience for your furry companions.</p>",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/glendan_dog_brush_cat_brush_slicker_pet_grooming_brush_shedding_grooming_tools_1_640x_crop_top.jpg?v=1625752641,3,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/glendan_dog_brush_cat_brush_slicker_pet_grooming_brush_shedding_grooming_tools_1_640x_crop_top.jpg?v=1625752641,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/glendan_dog_brush_cat_brush_slicker_pet_grooming_brush_shedding_grooming_tools_2_640x_crop_top.jpg?v=1625752641,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/glendan_dog_brush_cat_brush_slicker_pet_grooming_brush_shedding_grooming_tools_3_640x_crop_top.jpg?v=1625752641,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/glendan_dog_brush_cat_brush_slicker_pet_grooming_brush_shedding_grooming_tools_4_640x_crop_top.jpg?v=1625752641
4,Senye Retractable Dog Leash 16ft Dog Traction Rope,998,10,"This reliable and durable traction rope provides control and flexibility during walks. With its ergonomic design and smooth retractable mechanism, it ensures a comfortable grip and effortless handling. Enjoy outdoor adventures with your canine companion using the Senye Retractable Dog Leash.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/senye_retractable_dog_leash_16ft_dog_traction_rope_1_640x_crop_top.jpg?v=1625752616,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/senye_retractable_dog_leash_16ft_dog_traction_rope_1_640x_crop_top.jpg?v=1625752616,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/senye_retractable_dog_leash_16ft_dog_traction_rope_2_640x_crop_top.jpg?v=1625752616,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/senye_retractable_dog_leash_16ft_dog_traction_rope_3_640x_crop_top.jpg?v=1625752616,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/senye_retractable_dog_leash_16ft_dog_traction_rope_5_640x_crop_top.jpg?v=1625752616
5,My Alphapet Dog Poop Bags Refill Rolls,860,5,"These durable and leak-proof bags ensure clean and easy disposal. With their compact design, they easily fit into standard dispensers for on-the-go use. Keep your surroundings clean and hygienic while being a responsible pet owner.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/my_alphapet_dog_poop_bags_refill_rolls_1_640x_crop_top.jpg?v=1625752635,2,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/my_alphapet_dog_poop_bags_refill_rolls_1_640x_crop_top.jpg?v=1625752635,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/my_alphapet_dog_poop_bags_refill_rolls_2_640x_crop_top.jpg?v=1625752635,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/my_alphapet_dog_poop_bags_refill_rolls_3_640x_crop_top.jpg?v=1625752635,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/my_alphapet_dog_poop_bags_refill_rolls_4_640x_crop_top.jpg?v=1625752635
6,Cuddler Pet Bed Soft And Comforting,883,15,"This soft and comforting bed provides a cozy retreat for your furry friend, ensuring they have a restful sleep. Its plush design and padded walls offer support and security, making it the perfect spot for relaxation. Treat your pet to a luxurious and comforting resting place with this Cuddler Pet Bed.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/cuddler_pet_bed_soft_and_comforting_1_640x_crop_top.jpg?v=1625752662,3,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/cuddler_pet_bed_soft_and_comforting_1_640x_crop_top.jpg?v=1625752662,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/cuddler_pet_bed_soft_and_comforting_2_640x_crop_top.jpg?v=1625752662,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/cuddler_pet_bed_soft_and_comforting_3_640x_crop_top.jpg?v=1625752662,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/cuddler_pet_bed_soft_and_comforting_4_640x_crop_top.jpg?v=1625752662
7,Meal Automatic Pet Feeder Bowl,699,30,"This innovative feeder ensures timely and portion-controlled feeding for your furry friend. With customizable settings and a built-in timer, you can easily schedule multiple meals throughout the day. The spill-proof design and easy-to-clean bowl make feeding effortless and mess-free. Provide your pet with a consistent and convenient feeding experience with the Meal Automatic Pet Feeder Bowl.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/andrew_james_4_day_meal_automatic_pet_feeder_bowl_with_voice_recorder_includes_2_volume_reducers_1_adapter_tray_1_640x_crop_top.png?v=1625752682,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/andrew_james_4_day_meal_automatic_pet_feeder_bowl_with_voice_recorder_includes_2_volume_reducers_1_adapter_tray_1_640x_crop_top.png?v=1625752682,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/andrew_james_4_day_meal_automatic_pet_feeder_bowl_with_voice_recorder_includes_2_volume_reducers_1_adapter_tray_2_640x_crop_top.png?v=1625752682,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/andrew_james_4_day_meal_automatic_pet_feeder_bowl_with_voice_recorder_includes_2_volume_reducers_1_adapter_tray_3_640x_crop_top.png?v=1625752682,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/andrew_james_4_day_meal_automatic_pet_feeder_bowl_with_voice_recorder_includes_2_volume_reducers_1_adapter_tray_4_640x_crop_top.png?v=1625752682
8,Qpey Pet Food Bowl Stainless Steel,950,25,A durable stainless steel bowl designed for your pet's mealtime. Ensure a hygienic and convenient feeding experience with this easy-to-clean and long-lasting bowl. Keep your furry friend happy and satisfied during every meal.,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/qpey_pet_food_bowl_stainless_steel_1_640x_crop_top.jpg?v=1625752623,2,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/qpey_pet_food_bowl_stainless_steel_1_640x_crop_top.jpg?v=1625752623,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/qpey_pet_food_bowl_stainless_steel_2_640x_crop_top.jpg?v=1625752623,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/qpey_pet_food_bowl_stainless_steel_3_640x_crop_top.jpg?v=1625752623,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/qpey_pet_food_bowl_stainless_steel_4_640x_crop_top.jpg?v=1625752623
9,Gaucho Goods Tribal Leather Dog Collar,1000,18,"Elevate your dog's style with the Gaucho Goods Tribal Leather Dog Collar. Crafted with premium leather and adorned with tribal-inspired designs, this collar combines fashion with durability. Ensure a secure and comfortable fit for your furry friend while adding a touch of uniqueness to their look. Let your dog stand out in style with the Gaucho Goods Tribal Leather Dog Collar.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/gaucho_goods_tribal_leather_dog_collar_1_640x_crop_top.jpg?v=1625752646,3,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/gaucho_goods_tribal_leather_dog_collar_1_640x_crop_top.jpg?v=1625752646,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/gaucho_goods_tribal_leather_dog_collar_2_640x_crop_top.jpg?v=1625752646,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/gaucho_goods_tribal_leather_dog_collar_3_640x_crop_top.jpg?v=1625752646,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/gaucho_goods_tribal_leather_dog_collar_4_640x_crop_top.jpg?v=1625752646
10,Dogline Biothane Waterproof Dog Leash Strong Coated Nylon,800,30,"A strong and durable coated nylon leash that withstands any weather. Perfect for active dogs, it provides a reliable grip and easy control. Keep your furry companion safe and stylish on every adventure.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/dogline_biothan_waterproof_dog_leash_strong_coated_nylon_1_640x_crop_top.jpg?v=1625752576,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/dogline_biothan_waterproof_dog_leash_strong_coated_nylon_1_640x_crop_top.jpg?v=1625752576,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/dogline_biothan_waterproof_dog_leash_strong_coated_nylon_2_640x_crop_top.jpg?v=1625752576,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/dogline_biothan_waterproof_dog_leash_strong_coated_nylon_3_640x_crop_top.jpg?v=1625752576,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/dogline_biothan_waterproof_dog_leash_strong_coated_nylon_5_640x_crop_top.jpg?v=1625752576
